bp,A1: VK_Corrielle_1,A2: VK_Corrielle_2,A3: VK_Corrielle_3,A4: VK_Corrielle_4,A5: VK_Corrielle_5,A6: VK_Corrielle_6,A7: VK_Corrielle_7,A8: VK_Corrielle_8,B1: VK_Corrielle_9,B2: VK_Corrielle_10,B3: VK_Corrielle_11,B4: VK_Corrielle_12,B5: VK_Corrielle_13,C1: YG_Corrielle_1,C2: YG_Corrielle_2,C3: YG_Corrielle_3,C4: YG_Corrielle_4,C5: YG_Corrielle_5,C6: YG_Corrielle_6,C7: YG_Corrielle_7,C8: YG_Corrielle_8,D1: YG_Corrielle_9,D2: YG_Corrielle_10,D3: YG_Corrielle_11,D4: YG_Corrielle_12,D5: YG_Corrielle_13
108,10.71444838,40.83982029,194.045454,251.4109616,255.5458911,249.3729339,196.8528984,296.5326566,285.8195808,259.9762636,281.8309461,259.8057434,139.8148332,241.6349616,188.9823998,152.3409001,125.2179077,182.6473571,177.9400957,219.3154783,271.2265843,181.4384758,200.2403354,196.2698301,246.2332944,152.4380315
109,10.21276678,42.09972821,202.4951776,264.5892726,267.7232242,262.4386975,207.18509,309.1262804,306.0316797,271.7504955,292.7179695,271.9645347,146.56818,253.2088185,198.5952246,160.0138941,131.5602758,191.7494288,186.6717586,230.6077906,282.056885,190.0179255,210.5830193,206.5168546,256.1186147,159.9851433
110,9.539570545,43.80784651,210.6433488,278.2210447,280.9680022,275.59134,217.8303496,321.7158059,317.4054783,283.6836052,303.6297946,283.6953671,153.3648543,264.5062553,207.8264906,167.5718088,137.695382,201.2703444,196.1625426,242.1905652,293.6414997,197.9885105,219.9830842,216.2369345,269.9331116,168.0682566
111,9.22471087,45.87219321,218.4356094,291.6389017,295.1964875,288.5713398,228.5956255,334.5448488,330.6515887,295.8061211,314.8514569,294.8889361,160.2716846,275.8751211,216.3007614,175.0199615,143.7671967,210.8823932,205.9840606,253.8856337,305.7996326,205.5945386,229.2715304,225.6995239,283.7289035,176.3761715
112,9.727754796,48.11890072,226.3098319,304.576895,309.8406423,301.1986241,239.3359324,347.8795953,343.7195534,308.0132726,326.5360717,306.0153404,167.5728775,287.7596668,224.2602844,182.3856778,149.9044776,220.2811221,215.8830107,265.3897881,317.8985616,213.1960872,238.5129146,235.4412348,297.795303,184.7429791
113,10.83452315,50.32461226,234.8445578,317.1990029,324.3465704,313.5454961,250.1610949,361.7707698,356.3944976,320.2466294,338.2853333,317.9323356,175.1459678,300.3185808,232.432984,189.7232042,156.1077429,229.4820727,225.8093388,276.4020231,329.4833948,221.1393468,247.9127543,245.5995747,312.0045574,193.0689085
114,12.07151823,52.30834194,244.3511733,329.8058377,338.5070538,325.9039966,261.2649715,376.0961655,369.6064621,332.6218701,350.5563663,331.38082,182.6167337,313.4438188,241.5241853,197.1883371,162.4093932,238.8551856,235.8429884,286.9287992,340.587515,229.7019857,257.7438113,256.0350111,326.0937766,201.4172778
115,13.05680176,54.02685001,254.6073733,342.5512539,352.5191752,338.63667,272.6884015,390.5843547,383.2603421,345.3922732,364.1980223,346.4555866,189.654516,326.8059669,251.7452491,205.0090721,168.9597857,248.9364261,246.0748902,297.4137006,351.7719456,239.0165645,268.1458535,266.5624808,340.3063641,210.0213021
116,13.41305776,55.66975555,264.947611,355.2369044,366.4298828,351.7717913,284.034755,404.7295553,397.2259435,358.5120081,375.2920324,362.0497476,196.3814269,339.8612248,262.4841489,213.1556001,175.8305029,259.6982575,256.367994,308.34206,363.570371,248.8905796,279.0590975,277.2029259,354.7051693,218.9555086
117,13.31254105,57.51028734,275.0953838,367.9326203,380.3736921,365.381173,295.1480151,418.4203634,411.6239348,371.92645,394.0839393,377.0966022,203.4050222,352.3583278,273.1982235,221.6022964,183.0119148,270.7144025,266.6231588,320.0136271,376.1006188,258.8722248,290.4017639,288.1660344,369.4995164,228.2009168
118,13.22832356,59.78648212,285.2667264,381.0273227,394.5689788,379.6208087,306.2539624,432.074771,426.7467257,385.676881,429.5814025,391.1714044,211.4139824,364.5627571,283.750523,230.3770307,190.4254068,281.4967809,276.8221456,332.4157404,389.7349112,268.8091556,302.0405407,299.6365207,384.9320701,237.6470304
119,13.17654606,62.5145144,295.7753118,394.867939,409.1378706,394.5226981,317.7195704,446.4244266,442.7684977,399.8738611,455.0403927,404.7064995,220.4307716,377.2483224,294.3870725,239.4549839,197.9617217,291.931168,286.9415009,345.1762673,405.8073746,279.3642633,313.6558798,311.4412071,400.8274751,247.0631814
120,13.36911339,64.90884916,306.7368198,409.5453582,424.2863095,409.9938684,329.7869013,462.1046854,459.6658335,414.7127407,473.1618151,418.6614451,229.8404747,390.8926276,305.510203,248.7740444,205.7197782,302.017462,297.199455,358.1431841,420.1949565,288.0976175,325.1680312,323.3903423,416.8280223,256.4065875
121,14.01144472,67.47280602,318.1342919,425.0519916,440.2553611,425.9251635,342.6214087,479.448021,477.424329,430.4416234,495.656157,434.0325212,238.9722624,406.5453991,317.5973478,258.3174286,213.9057515,312.6089635,308.0038836,371.4941116,438.5224607,298.7793549,336.8093243,335.4608676,432.7863646,265.7879377
122,15.02412422,72.39475691,329.9801764,441.4881733,457.2420831,442.3213776,356.4250302,498.4315749,496.243047,447.3363247,518.3668225,451.4408364,247.676367,424.9400429,331.138153,268.2059736,222.6929934,324.8572847,319.7892494,385.651722,478.0366331,322.5848121,349.0637913,347.8838349,449.0663293,275.3805074
123,16.14556636,76.59946166,342.580638,459.2002857,475.3807167,459.4442901,371.5536816,519.0309582,516.5391428,465.7157197,541.0846847,471.0134263,256.5805281,438.9858425,346.4757673,278.7745199,232.1674637,334.7752955,332.657871,400.8483663,511.2594719,343.6904863,362.3683428,361.0262023,466.4294875,285.3601547
124,17.1279878,79.20942326,356.4089274,478.4720486,494.8047758,477.6774618,388.2854111,541.2458259,538.5022869,485.8859455,564.2930235,492.5855015,266.4805204,446.8983858,363.4362667,290.43514,242.4417899,340.8604936,346.5002963,417.2499366,529.8856505,357.1806388,377.0549272,375.2778464,485.5683913,295.9807436
125,17.84775471,82.48587657,371.8962725,499.3719693,515.6800161,497.4107073,406.6825192,565.0546343,561.9500884,508.0959548,587.3592682,515.8867792,277.924262,455.3571469,381.312551,303.5155452,253.6822844,347.1001045,361.2138158,435.0757876,552.8623156,374.0344118,393.3638872,390.9842878,506.7961983,307.5495661
126,18.35953696,86.1143117,389.0888064,521.7503268,538.1983928,518.9273903,426.5253888,590.3331307,586.4874404,532.4844034,609.6114487,540.7449087,290.9259079,471.8483773,399.2387169,318.0271838,266.0343607,360.5396627,377.0216381,454.6725991,577.7152442,392.616075,411.4927697,408.3833181,529.8315226,320.278078
127,18.746646,89.87937675,407.5130054,545.5082572,562.3932904,542.4488478,447.3996256,616.9877019,611.9768136,558.9974426,630.4255051,566.956891,305.359555,493.9456446,416.7622624,333.6308112,279.4443694,379.1944247,394.176657,476.1505463,602.4520547,411.8226323,431.4906545,427.5087531,554.2601615,334.1681648
